county,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio
01029,36264,0.556365884,0.675724638,0.750000000,0.566285714
01029,36268,0.000123609,0.000000000,0.000000000,0.000114286
01029,36273,0.181334981,0.192028986,0.101851852,0.181028571
01029,36272,0.026328801,0.005434783,0.000000000,0.024685714
01031,36318,0.007153076,0.000470367,0.000000000,0.006524338
01031,36330,0.627400045,0.749294450,0.764906303,0.639009394
01031,36351,0.078119118,0.058795861,0.005110733,0.075251921
01031,36453,0.024734583,0.014581373,0.003407155,0.023569599
01031,36010,0.016828552,0.005174036,0.003407155,0.015713066
01031,36034,0.005308335,0.000470367,0.008517888,0.005021349
01031,36311,0.004178902,0.000000000,0.000000000,0.003791631
01031,36009,0.002032979,0.000470367,0.001703578,0.001912895
01031,36079,0.008470748,0.002822201,0.000000000,0.007890692
01031,36322,0.000225887,0.000000000,0.000000000,0.000204953
01031,36360,0.000376478,0.000000000,0.000000000,0.000341588
01031,36477,0.006249529,0.003292568,0.000000000,0.005909479
01031,36346,0.030005271,0.007525870,0.003407155,0.027839453
01031,36316,0.017656803,0.008936971,0.000000000,0.016669513
01031,36467,0.007040133,0.000000000,0.000000000,0.006387703
01031,36323,0.164219562,0.148165569,0.209540034,0.163962425
01033,35616,0.077705677,0.035919107,0.007804878,0.071704042
01033,35674,0.338637624,0.326592212,0.418536585,0.339837166
01033,35672,0.002739101,0.000603682,0.000000000,0.002456792
01033,35653,0.006815143,0.000603682,0.002926829,0.006113412
01033,35654,0.018228063,0.014488379,0.005853659,0.017511784
01033,35582,0.000032608,0.000000000,0.000000000,0.000028567
01033,35660,0.179769785,0.231210383,0.215609756,0.185687759
01033,35661,0.301529331,0.356172653,0.320975610,0.307270390
01033,35646,0.074542668,0.034409900,0.028292683,0.069390087
01035,36454,0.006084467,0.004201681,0.011494253,0.005989328
01035,36426,0.012168933,0.008403361,0.000000000,0.011760862
01035,36502,0.002863278,0.001400560,0.000000000,0.002722422
01035,36401,0.581245526,0.857142857,0.896551724,0.605684417
01035,36456,0.031734670,0.008403361,0.000000000,0.029619950
01035,36473,0.013719876,0.001400560,0.022988506,0.012849831
01035,36471,0.006203770,0.000000000,0.000000000,0.005662637
01035,36033,0.005726557,0.002801120,0.000000000,0.005444844
01035,36330,0.000715820,0.000000000,0.000000000,0.000653381
01035,36432,0.227272727,0.071428571,0.045977011,0.213437874
01035,36442,0.000238607,0.000000000,0.000000000,0.000217794
01035,36421,0.013600573,0.005602241,0.000000000,0.012849831
01035,36460,0.003817705,0.012605042,0.000000000,0.004464772
01035,36475,0.086136960,0.025210084,0.022988506,0.080801481
01035,36474,0.008470532,0.001400560,0.000000000,0.007840575
01037,36026,0.079146872,0.069686411,0.106382979,0.079006551
01037,36080,0.001212979,0.000000000,0.000000000,0.001173365
01037,35072,0.223794602,0.212543554,0.212765957,0.223428180
01037,35136,0.206913980,0.247386760,0.170212766,0.207881099
01037,35046,0.014454665,0.017421603,0.000000000,0.014471497
01037,35150,0.012028707,0.013937282,0.000000000,0.012026987
01037,35089,0.124633579,0.177700348,0.170212766,0.126332258
01037,35010,0.101384818,0.052264808,0.276595745,0.100811577
01037,35151,0.157788335,0.128919861,0.042553191,0.156448616
01037,35183,0.078641464,0.080139373,0.021276596,0.078419869
01039,36421,0.225819187,0.099001996,0.141955836,0.212381436
01039,36420,0.303548713,0.509381238,0.337539432,0.324095398
01039,36455,0.000000000,0.000399202,0.000000000,0.000039034
01039,36401,0.000175462,0.000000000,0.000000000,0.000156134
01039,36456,0.004079484,0.001596806,0.000000000,0.003786252
01039,36453,0.000307058,0.000000000,0.000000000,0.000273235
01039,36467,0.234109751,0.226746507,0.261829653,0.233732776
01039,36477,0.000263193,0.000399202,0.000000000,0.000273235
01039,36442,0.126332412,0.137325349,0.252365931,0.128966782
01039,36483,0.008904680,0.002794411,0.000000000,0.008197041
01039,36038,0.000000000,0.000000000,0.006309148,0.000078067
01039,36028,0.028205466,0.006786427,0.000000000,0.025762130
01039,36474,0.068254595,0.015169661,0.000000000,0.062219447
01039,36476,0.000000000,0.000399202,0.000000000,0.000039034
01041,36467,0.000581193,0.000000000,0.000000000,0.000532822
01041,36009,0.153434848,0.061128527,0.181818182,0.147591645
