Date,ZipCode,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
9/30/2017,60609,IL,Chicago,Cook,Chicago,1400,1375,-0.002177068,0.002186589,0.005116959,8632
9/30/2017,95404,CA,Santa Rosa,Sonoma,Santa Rosa,1401,2679,0.000373413,0.009039548,0.022128958,12572
9/30/2017,94539,CA,San Francisco,Alameda,Fremont,1402,4492,-0.010136624,-0.017497813,-0.038321559,16015
9/30/2017,95336,CA,Stockton,San Joaquin,Manteca,1403,1672,0.006622517,0.028290283,0.059569075,12269
9/30/2017,75071,TX,Dallas-Fort Worth,Collin,McKinney,1404,1844,0,-0.001624256,0.014859659,14530
9/30/2017,92545,CA,Riverside,Riverside,Hemet,1405,1550,0.007147498,0.020408163,0.049424509,11357
9/30/2017,33134,FL,Miami-Fort Lauderdale,Miami-Dade,Coral Gables,1406,2229,-0.00044843,0.001797753,-0.045396146,17497
9/30/2017,53211,WI,Milwaukee,Milwaukee,Shorewood,1407,1306,-0.003053435,-0.026825633,-0.082220661,5028
9/30/2017,92672,CA,Los Angeles-Long Beach-Anaheim,Orange,San Clemente,1408,3287,-0.00694864,-0.009939759,0.015446401,13071
9/30/2017,1801,MA,Boston,Middlesex,Woburn,1409,2359,0.00297619,0.001698514,-0.007154882,11814
9/30/2017,53207,WI,Milwaukee,Milwaukee,Milwaukee,1410,1206,0.005838198,0.000829876,0.011744966,12659
9/30/2017,49504,MI,Grand Rapids,Kent,Grand Rapids,1411,1301,-0.002300613,0.020392157,0.024409449,15620
9/30/2017,76039,TX,Dallas-Fort Worth,Tarrant,Euless,1412,1594,0.000627746,0.01142132,0.058432935,7826
9/30/2017,85208,AZ,Phoenix,Maricopa,Mesa,1413,1244,0.005658852,0.012205045,0.039264829,10044
