C:\Users\czhao\AppData\Local\Programs\Python\Python36-32\python.exe "C:/Users/czhao/Documents/AI 1/Technica/processdata.py"
39.164688 -76.707611
39.39128 -76.741588
39.305683 -76.637146
39.433227 -76.327746
39.364646 -76.72022
39.379939 -76.502535
39.359896 -76.680175
39.269289 -76.517588
39.250255 -76.622183
39.272084 -76.676499
39.432638 -76.796484
39.198976 -76.817066
39.275087 -76.642357
39.345266 -76.558297
39.290537 -76.613594
38.905336 -77.053106
39.318103 -76.65269
39.299641 -76.585079
39.39186 -76.527363
39.221502 -76.889459
39.307805 -76.61611
39.312501 -76.685176
39.3031 -76.625421
39.377302 -76.732669
39.325001 -76.579086
39.346123 -76.687849
39.283995 -76.73039
39.118491 -76.583098
39.26961 -76.684567
39.253446 -76.646547
39.134007 -76.635655
39.394724 -76.576383
39.141532 -77.193339
39.288316 -76.644886
39.366545 -76.596702
39.322768 -76.575663
38.891857 -77.015154
39.394987 -76.523023
39.29352 -76.69074
39.256619 -76.462647
39.330967 -76.561637
39.448595 -76.635531
38.976367 -76.503358
39.377908 -76.726364
39.412722 -77.405447
39.318368 -76.690187
39.54006 -76.324594
39.277551 -76.606243
39.385609 -76.578031
39.391201 -76.627406
39.212198 -76.896262
39.277987 -76.695757
39.010192 -76.912127
39.448051 -76.81556
39.329096 -76.541566
39.299785 -76.629184
39.302048 -76.618836
39.20709 -76.727008
39.31821 -76.60214
39.423116 -76.371176
39.253784 -76.736747
39.360528 -76.590942
39.298759 -76.638624
39.287361 -76.552764
39.485864 -76.315958
39.330972 -76.657441
39.29404 -76.678033
39.366758 -76.609768
39.285662 -76.639468
39.28661 -76.56568
39.153187 -76.615942
39.384613 -76.579697
39.478578 -76.128487
39.458752 -76.258713
39.285765 -76.672016
39.317818 -76.618448
39.284872 -76.713345
39.345054 -76.557925
39.289286 -76.650212
39.290576 -76.590587
39.29239 -76.634273
39.301909 -76.589696
39.282151 -76.571325
39.293317 -76.655647
38.898795 -77.01241
38.876324 -76.99381
39.29484 -76.569779
39.273758 -76.615407
38.976269 -76.50344
39.317836 -76.652812
39.378311 -76.608428
39.423567 -76.80571
39.337846 -76.637027
39.365169 -76.775959
39.338913 -76.609605
39.256475 -76.522535
39.299504 -76.634094
39.313526 -76.565246
39.327077 -76.594703
39.490632 -76.664275
39.337058 -76.625163
